f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp
Shoaib,Khedr,F,573,108-9947,BARING,MO,1907,S,N,70000,6,2100,0,0
Jindong,Bernardinello,M,808,458-9467,HONOKAA,HI,1907,M,Y,80000,8.25,0,2080,1040
Valentino,Diz,F,339,759-1156,BRANT ROCK,MA,1907,M,N,100000,5.3,0,7150,0
Sethu,Silly,M,808,541-1211,LAIE,HI,1907,M,N,55000,8.25,0,2080,0
Shlomit,Zahar,F,408,791-4829,STOCKTON,CA,1907,M,Y,55000,9.3,0,174,272
Lulu,Pesch,M,414,124-6585,MINDORO,WI,1907,S,Y,95000,6.097042,700,0,400
Taizo,Cliff,F,435,580-9033,SALT LAKE CITY,UT,1907,S,N,50000,7,2475,0,0
Gui,Karunanithi,F,907,513-4945,KETCHIKAN,AK,1907,M,N,85000,0,0,0,0
Gerge,Mikus,M,208,944-8500,CALDWELL,ID,1907,S,N,85000,7.8,3300,0,0
Chutimet,Lichtman,F,308,922-9459,OMAHA,NE,1907,M,Y,20000,5.685643,0,206,103
Qingyu,Simon,F,802,548-7951,COLCHESTER,VT,1907,M,Y,25000,3.6,0,6600,3300
Etsuko,Woof,M,580,471-5208,GRAHAM,OK,1907,M,Y,30000,6.25,0,2000,1000
Weipeng,McReynolds,M,971,315-3583,OAKRIDGE,OR,1907,S,Y,10000,9,159,0,159
Christophe,Sureson,F,812,206-5194,ROCKPORT,IN,1907,S,N,10000,3.4,1000,0,0
Huy,Chmeiss,F,207,360-3504,YORK HARBOR,ME,1907,S,N,80000,8.5,2850,0,0
Lorna,Goffman,M,507,676-1454,KILKENNY,MN,1907,S,Y,10000,5.35,3300,0,3300
Heonchul,Poigne,M,234,634-9709,DAYTON,OH,1907,M,N,15000,1.0439488,0,2600,0
Pino,Cornelio,F,208,310-8178,FERDINAND,ID,1907,M,Y,90000,7.8,0,6600,3300
Roselyn,Faulk,F,775,819-9197,HENDERSON,NV,1907,S,N,45000,0,0,0,0
Binh,Carpi,M,804,836-7855,CENTER CROSS,VA,1907,S,Y,40000,5.75,900,0,900
Stijn,Skuppin,M,401,220-5863,GREENVILLE,RI,1907,S,N,35000,0,0,0,0
Haina,Capri,F,802,172-6642,TOWNSHEND,VT,1907,S,Y,95000,4.8951945,3300,0,3300
Atsuo,Messina,F,307,172-9153,WRIGHT,WY,1907,S,Y,90000,0,0,0,0
IJsbrand,Piveteau,M,803,755-2400,NICHOLS,SC,1907,M,N,15000,7,0,6600,0
Mordechai,Panagopoulos,F,620,444-3954,GARFIELD,KS,1907,M,Y,80000,6.45,0,4500,2250
Roseli,Kaushal,M,308,587-5834,GRAND ISLAND,NE,1907,M,N,50000,6.84,0,206,0
Mihal,Wood,F,207,431-7295,SCARBOROUGH,ME,1907,M,Y,25000,8.5,0,5700,2850
Shinkyu,Yandle,F,903,924-8342,SAN ANTONIO,TX,1907,M,N,75000,0,0,0,0
Helene,Driscoll,M,402,646-9978,BROADWATER,NE,1907,M,N,80000,6.84,0,206,0
Renata,Ruohonen,M,712,338-8276,GREENVILLE,IA,1907,S,Y,50000,7.8829904,40,0,40
Takio,Girona,M,505,321-7480,SILVER CITY,NM,1907,M,N,5000,1.7,0,6600,0
Lalit,Glodjo,F,207,418-8792,LONG ISLAND,ME,1907,M,N,15000,6.9580293,0,5700,0
Yihua,Brost,F,832,201-7700,ORLA,TX,1907,M,Y,25000,0,0,0,0
Rakefet,Fraysse,F,253,548-9943,FEDERAL WAY,WA,1907,M,Y,20000,0,0,0,0
ChengFu,Meysembourg,M,401,238-5725,FOSTER,RI,1907,M,N,60000,0,0,0,0
Shangzhi,Batenin,F,281,988-2706,BYNUM,TX,1907,S,N,60000,0,0,0,0
Gudala,Plun,F,860,857-3288,OAKDALE,CT,1907,S,N,70000,5,12750,0,0
Surajit,Leherte,F,505,830-2901,ALBUQUERQUE,NM,1907,M,Y,20000,5.3,0,6600,3300
Srinidhi,Cools,M,479,880-6104,ROSSTON,AR,1907,M,N,65000,7,0,40,0
Francky,Bing,F,256,690-4109,OPELIKA,AL,1907,S,N,40000,5,1500,0,0
Xinxin,DeTurk,F,225,872-2051,BLANCHARD,LA,1907,S,Y,65000,6,4500,0,1000
Maribeth,Parmee,M,207,432-3871,STETSON,ME,1907,S,N,35000,8.5,2850,0,0
Jayanth,Rauma,M,435,739-6616,SALT LAKE CITY,UT,1907,S,N,25000,7,2475,0,0
Turner,Devlin,M,701,141-9217,BUCHANAN,ND,1907,S,N,5000,2.1,3300,0,0
Liangwei,Mittelstras,M,765,349-6705,KOLEEN,IN,1907,S,N,60000,3.4,1000,0,0
Cristinel,Ripplinger,F,814,322-9745,BESSEMER,PA,1907,M,N,55000,3.07,0,0,0
Sigfus,Deo,F,323,534-1457,PENRYN,CA,1907,M,N,100000,9.3,0,174,0
Herbert,Popa,M,202,175-6992,WASHINGTON,DC,1907,S,Y,75000,9,1370,0,1370
Yatsuka,Paragot,M,978,628-2817,DUXBURY,MA,1907,M,N,20000,5.3,0,7150,0
Changhwa,Weistroffer,M,507,220-1705,BROWNSVILLE,MN,1907,S,N,50000,6.9236393,3300,0,0
Birte,Nobel,M,970,536-6876,ELIZABETH,CO,1907,M,N,50000,4.63,0,0,0
Masamitsu,Kugelmass,F,504,136-5190,CLARKS,LA,1907,S,Y,35000,6,4500,0,1000
Borivoj,Stocker,F,971,317-5222,REDMOND,OR,1907,M,Y,40000,9,0,318,159
Pangfeng,Cummings,F,505,747-1111,CLEVELAND,NM,1907,S,Y,40000,5.3,3300,0,3300
Atushi,Ponceleon,F,307,725-2755,GUERNSEY,WY,1907,M,Y,70000,0,0,0,0
Seungmi,Rothwell,F,703,489-6656,ARLINGTON,VA,1907,M,N,20000,5.75,0,1800,0
Love,Chvatal,M,907,212-5104,TAKOTNA,AK,1907,S,N,80000,0,0,0,0
Henny,Linnell,F,828,291-8641,RALEIGH,NC,1907,M,N,95000,7.7255244,0,6600,0
Myla,McNaught,F,307,934-8717,HANNA,WY,1907,S,N,30000,0,0,0,0
Giorgos,Paterson,F,501,913-4174,MIDWAY,AR,1907,M,N,30000,7,0,40,0
Mahmut,Dinkhoff,M,304,980-7729,FRENCHTON,WV,1907,S,Y,40000,5.1000004,2000,0,2000
Lincoln,Kroll,F,248,776-7046,LELAND,MI,1907,S,N,10000,3.9,3100,0,0
Vinton,Ballin,M,757,271-6599,WITHAMS,VA,1907,M,N,95000,5.75,0,1800,0
Mary,Roure,F,505,376-8950,ROY,NM,1907,S,N,40000,5.3,3300,0,0
Senol,Hembry,M,713,489-9185,RHOME,TX,1907,M,Y,80000,0,0,0,0
Tarun,Yonezaki,M,601,288-2547,MCCOMB,MS,1907,S,N,20000,5,6000,0,0
Ling,Pennings,F,303,879-6033,CHAMA,CO,1907,S,N,45000,4.63,0,0,0
Stabislas,Murtafg,F,757,704-9978,RHOADESVILLE,VA,1907,M,Y,15000,5.214286,0,1800,900
